T9,T10,AVGND
8.2,5.5,LOW
1.9,3.7,LOW
10,9.1,HIGH
10,8.2,HIGH
10,7.3,HIGH
6.4,7.3,AVERAGE
9.1,8.2,AVERAGE
8.2,6.4,AVERAGE
6.4,5.5,LOW
7.3,7.3,AVERAGE
8.83,7.03,AVERAGE
6.4,6.4,AVERAGE
10,3.97,AVERAGE
7.3,4.6,AVERAGE
5.5,2.8,LOW
4.6,5.5,LOW
2.8,4.6,LOW
6.4,7.3,AVERAGE
7.3,8.2,HIGH
5.5,6.4,AVERAGE
6.4,3.7,LOW
3.7,9.1,AVERAGE
9.1,7.3,AVERAGE
10,10,AVERAGE
10,10,HIGH
6.67,5.5,LOW
10,10,HIGH
10,10,HIGH
10,6.67,HIGH
4.42,6.4,AVERAGE
10,8.92,HIGH
4.78,7.75,AVERAGE
10,8.92,AVERAGE
10,10,HIGH
10,10,HIGH
7.75,8.92,AVERAGE
7.75,8.2,HIGH
4.42,3.25,LOW
5.86,7.75,LOW
7.75,6.67,LOW
7.75,10,AVERAGE
5.5,10,AVERAGE
2.17,6.67,LOW
7.75,6.67,AVERAGE
10,8.92,HIGH
8.92,10,HIGH
6.67,6.67,AVERAGE
7.75,3.25,LOW
10,8.92,HIGH
4.42,5.5,LOW
10,5.5,AVERAGE
7.75,5.5,AVERAGE
4.42,7.75,AVERAGE
10,10,HIGH
5.5,4.42,AVERAGE
10,8.2,HIGH
7.75,6.67,AVERAGE
10,10,HIGH
10,10,HIGH
7.75,8.92,AVERAGE
4.42,6.67,AVERAGE
5.5,3.25,LOW
7.75,10,HIGH
8.92,8.92,AVERAGE
7.75,7.75,AVERAGE
7.75,8.92,AVERAGE
7.75,5.5,LOW
8.92,3.25,AVERAGE
5.5,6.67,AVERAGE
6.67,3.25,LOW
7.75,3.25,LOW
6.67,7.75,AVERAGE
6.67,8.92,LOW
5.5,7.3,AVERAGE
6.67,6.67,LOW
5.5,6.67,LOW
10,8.92,AVERAGE
10,8.92,HIGH
7.75,7.75,HIGH
8.92,4.6,LOW
4.42,8.92,AVERAGE
8.92,6.67,AVERAGE
7.75,8.92,AVERAGE
3.25,5.5,LOW
8.92,6.67,AVERAGE
6.67,8.11,HIGH
6.67,7.75,HIGH
5.5,5.86,LOW
5.5,6.67,LOW
7.75,8.92,HIGH
8.92,10,HIGH
7.75,6.67,AVERAGE
10,8.92,HIGH
7.75,8.92,AVERAGE
6.67,9.1,AVERAGE
7.75,7.75,AVERAGE
7.75,7.75,AVERAGE
7.75,4.42,LOW
3.25,8.92,LOW
7.03,5.5,AVERAGE
7.75,8.92,LOW
6.67,6.67,LOW
