T9,AVGND
8.2,LOW
1.9,AVERAGE
10,HIGH
10,HIGH
10,HIGH
6.4,AVERAGE
9.1,AVERAGE
8.2,AVERAGE
6.4,LOW
7.3,AVERAGE
8.83,AVERAGE
6.4,AVERAGE
10,AVERAGE
7.3,AVERAGE
5.5,LOW
4.6,LOW
2.8,LOW
6.4,AVERAGE
7.3,HIGH
5.5,AVERAGE
6.4,LOW
3.7,AVERAGE
9.1,AVERAGE
10,AVERAGE
10,HIGH
6.67,LOW
10,HIGH
10,HIGH
10,HIGH
4.42,AVERAGE
10,HIGH
4.78,LOW
10,AVERAGE
10,HIGH
10,HIGH
7.75,AVERAGE
7.75,HIGH
4.42,AVERAGE
5.86,LOW
7.75,LOW
7.75,AVERAGE
5.5,AVERAGE
2.17,LOW
7.75,AVERAGE
10,HIGH
8.92,HIGH
6.67,AVERAGE
7.75,LOW
10,HIGH
4.42,LOW
10,AVERAGE
7.75,AVERAGE
4.42,AVERAGE
10,AVERAGE
5.5,AVERAGE
10,HIGH
7.75,AVERAGE
10,HIGH
10,HIGH
7.75,AVERAGE
4.42,AVERAGE
5.5,LOW
7.75,HIGH
8.92,AVERAGE
7.75,AVERAGE
7.75,AVERAGE
7.75,LOW
8.92,AVERAGE
5.5,AVERAGE
6.67,LOW
7.75,LOW
6.67,AVERAGE
6.67,LOW
5.5,AVERAGE
6.67,LOW
5.5,LOW
10,AVERAGE
10,HIGH
7.75,HIGH
8.92,AVERAGE
4.42,LOW
8.92,AVERAGE
7.75,AVERAGE
3.25,LOW
8.92,AVERAGE
6.67,HIGH
6.67,HIGH
5.5,LOW
5.5,LOW
7.75,AVERAGE
8.92,HIGH
7.75,AVERAGE
10,HIGH
7.75,AVERAGE
6.67,AVERAGE
7.75,AVERAGE
7.75,AVERAGE
7.75,AVERAGE
3.25,LOW
7.03,AVERAGE
7.75,LOW
6.67,LOW
