T7,T8,AVGND
1.9,3.97,LOW
2.8,4.6,AVERAGE
10,10,HIGH
10,10,AVERAGE
7.3,9.1,HIGH
7.3,2.8,AVERAGE
6.4,10,AVERAGE
3.7,4.6,LOW
4.6,5.5,LOW
4.6,3.7,AVERAGE
8.2,2.8,AVERAGE
5.5,6.4,AVERAGE
4.6,8.83,AVERAGE
4.78,5.5,AVERAGE
4.6,4.6,LOW
5.5,6.4,LOW
3.97,4.6,LOW
6.4,8.2,AVERAGE
8.2,10,HIGH
5.5,6.4,AVERAGE
8.2,3.7,LOW
5.5,6.4,AVERAGE
7.3,4.6,AVERAGE
9.1,9.1,AVERAGE
10,8.92,HIGH
6.67,7.75,LOW
8.92,9.1,HIGH
8.92,8.92,HIGH
9.1,10,HIGH
7.3,8.92,AVERAGE
10,10,HIGH
4.42,5.5,AVERAGE
5.5,8.47,AVERAGE
8.92,10,HIGH
8.92,8.92,HIGH
8.92,6.67,AVERAGE
8.92,7.75,HIGH
8.92,6.67,AVERAGE
6.4,3.25,LOW
5.5,4.78,LOW
8.92,7.75,AVERAGE
5.5,6.4,AVERAGE
6.67,7.3,LOW
8.92,6.67,AVERAGE
10,10,HIGH
10,10,HIGH
6.67,6.67,AVERAGE
3.25,7.03,LOW
10,8.92,HIGH
5.5,3.25,AVERAGE
5.5,8.92,AVERAGE
5.5,7.3,AVERAGE
3.25,6.67,AVERAGE
7.75,10,AVERAGE
8.92,6.67,AVERAGE
8.92,7.75,HIGH
5.5,10,AVERAGE
10,10,HIGH
10,10,HIGH
6.67,8.92,AVERAGE
8.92,10,HIGH
3.25,5.5,LOW
8.92,10,HIGH
6.67,8.92,AVERAGE
10,9.1,AVERAGE
6.67,4.42,LOW
6.67,4.42,LOW
6.67,6.67,AVERAGE
6.67,5.86,AVERAGE
3.25,4.42,LOW
3.25,4.42,LOW
6.67,5.5,AVERAGE
7.75,6.67,LOW
7.75,7.75,AVERAGE
2.17,3.25,LOW
7.75,5.5,LOW
9.1,8.2,AVERAGE
9.1,8.92,HIGH
6.67,7.75,HIGH
7.75,7.75,LOW
7.75,5.5,LOW
5.5,10,AVERAGE
5.5,6.67,AVERAGE
4.42,3.25,LOW
7.3,7.75,AVERAGE
10,8.92,HIGH
8.92,7.75,HIGH
5.86,4.42,LOW
5.5,3.25,LOW
10,7.75,AVERAGE
10,10,HIGH
7.75,8.92,HIGH
8.92,8.92,HIGH
4.42,7.75,AVERAGE
7.3,7.75,AVERAGE
6.67,7.75,AVERAGE
8.92,6.4,AVERAGE
5.5,7.75,AVERAGE
5.5,2.17,LOW
10,8.92,AVERAGE
5.5,5.5,LOW
6.67,6.67,LOW
