T6,AVGND
6.4,LOW
6.4,AVERAGE
10,AVERAGE
3.7,AVERAGE
8.2,HIGH
7.3,AVERAGE
6.4,AVERAGE
5.5,AVERAGE
1.9,LOW
7.3,AVERAGE
7.03,AVERAGE
6.4,AVERAGE
8.83,AVERAGE
10,HIGH
6.4,AVERAGE
1.9,LOW
3.7,LOW
6.67,AVERAGE
9.1,HIGH
3.7,HIGH
3.97,LOW
7.3,HIGH
7.3,AVERAGE
3.7,LOW
10,HIGH
6.4,LOW
10,HIGH
10,HIGH
10,AVERAGE
5.5,AVERAGE
10,HIGH
6.67,AVERAGE
10,AVERAGE
10,HIGH
6.67,HIGH
8.92,AVERAGE
6.67,HIGH
3.61,AVERAGE
3.25,AVERAGE
6.67,LOW
9.64,AVERAGE
6.67,AVERAGE
3.61,LOW
6.67,AVERAGE
8.92,HIGH
8.92,HIGH
7.3,AVERAGE
5.5,AVERAGE
10,HIGH
4.42,AVERAGE
5.5,AVERAGE
5.86,AVERAGE
2.8,AVERAGE
7.75,AVERAGE
5.5,AVERAGE
9.28,HIGH
5.5,AVERAGE
10,HIGH
10,HIGH
7.75,LOW
8.92,AVERAGE
4.6,LOW
7.75,HIGH
7.75,AVERAGE
7.75,AVERAGE
6.67,AVERAGE
3.25,LOW
5.5,HIGH
4.42,AVERAGE
5.5,LOW
7.75,LOW
6.67,AVERAGE
5.5,LOW
7.3,AVERAGE
3.25,LOW
4.42,LOW
6.67,AVERAGE
7.75,HIGH
7.75,HIGH
5.5,LOW
8.92,AVERAGE
8.2,AVERAGE
7.03,HIGH
2.17,AVERAGE
7.75,AVERAGE
10,HIGH
10,HIGH
6.67,LOW
5.5,LOW
10,AVERAGE
8.92,HIGH
8.92,AVERAGE
6.67,HIGH
5.5,HIGH
8.92,AVERAGE
6.67,AVERAGE
6.67,AVERAGE
7.75,AVERAGE
4.42,LOW
7.75,AVERAGE
3.61,LOW
3.7,LOW
