T7,AVGND
1.9,LOW
2.8,AVERAGE
10,AVERAGE
10,AVERAGE
7.3,HIGH
7.3,AVERAGE
6.4,AVERAGE
3.7,AVERAGE
4.6,LOW
4.6,AVERAGE
8.2,AVERAGE
5.5,AVERAGE
4.6,AVERAGE
4.78,AVERAGE
4.6,LOW
5.5,LOW
3.97,LOW
6.4,AVERAGE
8.2,HIGH
5.5,AVERAGE
8.2,LOW
5.5,HIGH
7.3,AVERAGE
9.1,LOW
10,HIGH
6.67,LOW
8.92,HIGH
8.92,HIGH
9.1,AVERAGE
7.3,AVERAGE
10,HIGH
4.42,AVERAGE
5.5,AVERAGE
8.92,HIGH
8.92,HIGH
8.92,AVERAGE
8.92,HIGH
8.92,AVERAGE
6.4,LOW
5.5,LOW
8.92,AVERAGE
5.5,AVERAGE
6.67,LOW
8.92,AVERAGE
10,HIGH
10,HIGH
6.67,AVERAGE
3.25,LOW
10,HIGH
5.5,AVERAGE
5.5,AVERAGE
5.5,AVERAGE
3.25,AVERAGE
7.75,AVERAGE
8.92,AVERAGE
8.92,HIGH
5.5,AVERAGE
10,HIGH
10,HIGH
6.67,LOW
8.92,AVERAGE
3.25,LOW
8.92,HIGH
6.67,AVERAGE
10,AVERAGE
6.67,AVERAGE
6.67,LOW
6.67,AVERAGE
6.67,AVERAGE
3.25,LOW
3.25,LOW
6.67,AVERAGE
7.75,LOW
7.75,AVERAGE
2.17,LOW
7.75,LOW
9.1,AVERAGE
9.1,HIGH
6.67,HIGH
7.75,LOW
7.75,AVERAGE
5.5,AVERAGE
5.5,AVERAGE
4.42,LOW
7.3,AVERAGE
10,HIGH
8.92,HIGH
5.86,LOW
5.5,LOW
10,HIGH
10,HIGH
7.75,AVERAGE
8.92,HIGH
4.42,AVERAGE
7.3,AVERAGE
6.67,AVERAGE
8.92,AVERAGE
5.5,LOW
5.5,LOW
10,AVERAGE
5.5,LOW
6.67,LOW
