T8,AVGND
3.97,LOW
4.6,AVERAGE
10,HIGH
10,AVERAGE
9.1,HIGH
2.8,AVERAGE
10,AVERAGE
4.6,LOW
5.5,LOW
3.7,AVERAGE
2.8,AVERAGE
6.4,AVERAGE
8.83,AVERAGE
5.5,AVERAGE
4.6,LOW
6.4,LOW
4.6,LOW
8.2,AVERAGE
10,HIGH
6.4,AVERAGE
3.7,LOW
6.4,AVERAGE
4.6,AVERAGE
9.1,AVERAGE
8.92,HIGH
7.75,LOW
9.1,HIGH
8.92,HIGH
10,HIGH
8.92,AVERAGE
10,HIGH
5.5,AVERAGE
8.47,AVERAGE
10,HIGH
8.92,HIGH
6.67,AVERAGE
7.75,HIGH
6.67,AVERAGE
3.25,LOW
4.78,LOW
7.75,AVERAGE
6.4,AVERAGE
7.3,LOW
6.67,AVERAGE
10,HIGH
10,HIGH
6.67,AVERAGE
7.03,LOW
8.92,HIGH
3.25,AVERAGE
8.92,AVERAGE
7.3,AVERAGE
6.67,AVERAGE
10,AVERAGE
6.67,AVERAGE
7.75,HIGH
10,AVERAGE
10,HIGH
10,HIGH
8.92,AVERAGE
10,HIGH
5.5,LOW
10,HIGH
8.92,AVERAGE
9.1,AVERAGE
4.42,LOW
4.42,LOW
6.67,AVERAGE
5.86,AVERAGE
4.42,LOW
4.42,LOW
5.5,AVERAGE
6.67,LOW
7.75,AVERAGE
3.25,LOW
5.5,LOW
8.2,AVERAGE
8.92,HIGH
7.75,HIGH
7.75,LOW
5.5,LOW
10,AVERAGE
6.67,AVERAGE
3.25,LOW
7.75,AVERAGE
8.92,HIGH
7.75,HIGH
4.42,LOW
3.25,LOW
7.75,AVERAGE
10,HIGH
8.92,HIGH
8.92,HIGH
7.75,AVERAGE
7.75,AVERAGE
7.75,AVERAGE
6.4,AVERAGE
7.75,AVERAGE
2.17,LOW
8.92,AVERAGE
5.5,LOW
6.67,LOW
