T4,T5,AVGND
5.5,6.4,LOW
9.1,10,AVERAGE
10,9.28,AVERAGE
10,10,AVERAGE
9.1,10,HIGH
3.7,5.5,AVERAGE
7.3,6.4,AVERAGE
4.24,3.07,AVERAGE
6.4,4.6,AVERAGE
10,5.5,AVERAGE
8.2,2.8,AVERAGE
4.6,5.23,AVERAGE
8.2,3.7,AVERAGE
7.03,8.2,HIGH
5.5,3.25,LOW
2.8,1,LOW
4.6,2.8,LOW
7.3,4.6,AVERAGE
10,4.6,HIGH
10,10,HIGH
4.6,2.8,LOW
10,6.4,HIGH
3.97,4.6,AVERAGE
4.6,6.4,LOW
10,7.75,HIGH
1,4.42,LOW
10,10,HIGH
10,9.1,HIGH
8.92,7.75,AVERAGE
8.92,7.3,AVERAGE
7.75,7.75,HIGH
5.5,3.25,AVERAGE
4.42,7.75,AVERAGE
8.92,10,HIGH
8.92,7.75,HIGH
8.92,8.92,AVERAGE
8.92,9.1,HIGH
5.5,7.75,AVERAGE
5.5,5.5,AVERAGE
5.5,4.42,LOW
7.75,3.25,AVERAGE
3.25,8.92,AVERAGE
4.42,5.5,AVERAGE
3.25,6.67,AVERAGE
10,10,HIGH
8.92,10,HIGH
6.67,4.42,AVERAGE
7.75,3.61,AVERAGE
10,10,HIGH
5.5,6.67,AVERAGE
6.67,5.5,AVERAGE
5.5,4.6,AVERAGE
8.92,6.67,AVERAGE
6.67,6.67,AVERAGE
7.75,7.75,AVERAGE
4.42,7.75,HIGH
5.5,7.75,AVERAGE
10,10,HIGH
10,8.2,HIGH
5.5,3.25,LOW
8.92,8.92,AVERAGE
4.42,5.5,LOW
9.1,7.75,HIGH
7.75,7.75,AVERAGE
7.75,7.75,AVERAGE
5.5,6.67,LOW
4.42,4.42,LOW
10,2.17,HIGH
6.67,4.42,AVERAGE
3.25,3.25,LOW
4.42,3.25,LOW
5.5,4.42,AVERAGE
5.5,4.42,LOW
7.3,7.75,AVERAGE
3.25,5.5,LOW
3.25,4.42,LOW
6.67,6.67,AVERAGE
7.75,7.75,HIGH
8.92,8.92,HIGH
4.42,3.25,LOW
5.5,4.42,LOW
7.75,7.75,AVERAGE
10,8.92,HIGH
6.67,4.42,AVERAGE
7.75,7.75,LOW
10,7.75,HIGH
7.75,5.5,HIGH
4.42,6.67,LOW
4.42,4.42,LOW
8.92,7.75,AVERAGE
9.28,7.75,HIGH
8.92,6.67,AVERAGE
7.75,10,HIGH
6.67,8.92,HIGH
4.42,8.92,AVERAGE
7.75,8.92,AVERAGE
5.5,5.5,AVERAGE
3.25,3.25,LOW
5.5,4.42,LOW
5.5,6.67,AVERAGE
3.25,4.42,LOW
3.25,4.42,LOW
