T8,T9,AVGND
3.97,8.2,LOW
4.6,1.9,AVERAGE
10,10,HIGH
10,10,HIGH
9.1,10,HIGH
2.8,6.4,AVERAGE
10,9.1,AVERAGE
4.6,8.2,AVERAGE
5.5,6.4,LOW
3.7,7.3,AVERAGE
2.8,8.83,AVERAGE
6.4,6.4,AVERAGE
8.83,10,AVERAGE
5.5,7.3,AVERAGE
4.6,5.5,LOW
6.4,4.6,LOW
4.6,2.8,LOW
8.2,6.4,AVERAGE
10,7.3,HIGH
6.4,5.5,AVERAGE
3.7,6.4,LOW
6.4,3.7,AVERAGE
4.6,9.1,AVERAGE
9.1,10,AVERAGE
8.92,10,HIGH
7.75,6.67,LOW
9.1,10,HIGH
8.92,10,HIGH
10,10,HIGH
8.92,4.42,AVERAGE
10,10,HIGH
5.5,4.78,LOW
8.47,10,AVERAGE
10,10,HIGH
8.92,10,HIGH
6.67,7.75,AVERAGE
7.75,7.75,HIGH
6.67,4.42,AVERAGE
3.25,5.86,LOW
4.78,7.75,LOW
7.75,7.75,AVERAGE
6.4,5.5,AVERAGE
7.3,2.17,LOW
6.67,7.75,AVERAGE
10,10,HIGH
10,8.92,HIGH
6.67,6.67,AVERAGE
7.03,7.75,LOW
8.92,10,HIGH
3.25,4.42,LOW
8.92,10,AVERAGE
7.3,7.75,AVERAGE
6.67,4.42,AVERAGE
10,10,AVERAGE
6.67,5.5,AVERAGE
7.75,10,HIGH
10,7.75,AVERAGE
10,10,HIGH
10,10,HIGH
8.92,7.75,AVERAGE
10,4.42,AVERAGE
5.5,5.5,LOW
10,7.75,HIGH
8.92,8.92,AVERAGE
9.1,7.75,AVERAGE
4.42,7.75,AVERAGE
4.42,7.75,LOW
6.67,8.92,AVERAGE
5.86,5.5,AVERAGE
4.42,6.67,LOW
4.42,7.75,LOW
5.5,6.67,AVERAGE
6.67,6.67,LOW
7.75,5.5,AVERAGE
3.25,6.67,LOW
5.5,5.5,LOW
8.2,10,AVERAGE
8.92,10,HIGH
7.75,7.75,HIGH
7.75,8.92,AVERAGE
5.5,4.42,LOW
10,8.92,AVERAGE
6.67,7.75,AVERAGE
3.25,3.25,LOW
7.75,8.92,AVERAGE
8.92,6.67,HIGH
7.75,6.67,HIGH
4.42,5.5,LOW
3.25,5.5,LOW
7.75,7.75,AVERAGE
10,8.92,HIGH
8.92,7.75,AVERAGE
8.92,10,HIGH
7.75,7.75,AVERAGE
7.75,6.67,AVERAGE
7.75,7.75,AVERAGE
6.4,7.75,AVERAGE
7.75,7.75,AVERAGE
2.17,3.25,LOW
8.92,7.03,AVERAGE
5.5,7.75,LOW
6.67,6.67,LOW
