T10,AVGND
5.5,LOW
3.7,LOW
9.1,HIGH
8.2,HIGH
7.3,HIGH
7.3,AVERAGE
8.2,AVERAGE
6.4,AVERAGE
5.5,LOW
7.3,AVERAGE
7.03,AVERAGE
6.4,AVERAGE
3.97,AVERAGE
4.6,AVERAGE
2.8,LOW
5.5,LOW
4.6,LOW
7.3,AVERAGE
8.2,HIGH
6.4,AVERAGE
3.7,LOW
9.1,AVERAGE
7.3,AVERAGE
10,AVERAGE
10,HIGH
5.5,LOW
10,HIGH
10,HIGH
6.67,HIGH
6.4,AVERAGE
8.92,HIGH
7.75,AVERAGE
8.92,AVERAGE
10,HIGH
10,HIGH
8.92,AVERAGE
8.2,HIGH
3.25,LOW
7.75,LOW
6.67,LOW
10,AVERAGE
10,AVERAGE
6.67,LOW
6.67,AVERAGE
8.92,HIGH
10,HIGH
6.67,AVERAGE
3.25,LOW
8.92,HIGH
5.5,LOW
5.5,AVERAGE
5.5,AVERAGE
7.75,AVERAGE
10,HIGH
4.42,AVERAGE
8.2,HIGH
6.67,AVERAGE
10,HIGH
10,HIGH
8.92,AVERAGE
6.67,AVERAGE
3.25,LOW
10,HIGH
8.92,AVERAGE
7.75,AVERAGE
8.92,AVERAGE
5.5,LOW
3.25,AVERAGE
6.67,AVERAGE
3.25,LOW
3.25,LOW
7.75,AVERAGE
8.92,LOW
7.3,AVERAGE
6.67,LOW
6.67,LOW
8.92,AVERAGE
8.92,HIGH
7.75,HIGH
4.6,LOW
8.92,AVERAGE
6.67,AVERAGE
8.92,AVERAGE
5.5,LOW
6.67,AVERAGE
8.11,HIGH
7.75,HIGH
5.86,LOW
6.67,LOW
8.92,HIGH
10,HIGH
6.67,AVERAGE
8.92,HIGH
8.92,AVERAGE
9.1,AVERAGE
7.75,AVERAGE
7.75,AVERAGE
4.42,LOW
8.92,LOW
5.5,AVERAGE
8.92,LOW
6.67,LOW
